               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.046778,             0.04061,           0.0015366,             0.94061,             0.92696,             0.96751,             0.62129,            0.043833,            0.030833,           0.0012871,             0.00406,             0.00406,             0.00406
                  92,            0.047195,            0.040089,           0.0014923,             0.93211,             0.92531,             0.96254,             0.60387,            0.045387,            0.031054,           0.0011718,            0.003994,            0.003994,            0.003994
                  93,            0.047431,            0.041454,            0.001569,             0.94258,             0.93516,             0.96645,             0.62158,             0.04411,            0.030892,           0.0011257,            0.003928,            0.003928,            0.003928
                  94,             0.04728,            0.042085,           0.0015338,             0.94299,             0.93322,              0.9684,              0.6214,            0.043706,            0.030433,           0.0011015,            0.003862,            0.003862,            0.003862
                  95,            0.047773,            0.039127,            0.001663,             0.94334,             0.93024,             0.96505,             0.62343,            0.044053,            0.030311,           0.0012844,            0.003796,            0.003796,            0.003796
                  96,            0.047133,            0.038228,           0.0016577,             0.94751,             0.93092,              0.9683,             0.61337,            0.043792,            0.030657,           0.0012157,             0.00373,             0.00373,             0.00373
                  97,            0.047153,            0.040334,           0.0016414,             0.93562,             0.93266,             0.96548,              0.6195,            0.043157,             0.03083,           0.0011297,            0.003664,            0.003664,            0.003664
                  98,            0.047453,            0.039725,           0.0020138,             0.95077,             0.92727,             0.96615,             0.61763,            0.043322,            0.030361,           0.0010877,            0.003598,            0.003598,            0.003598
                  99,            0.046896,             0.04003,           0.0014613,             0.95315,             0.91267,             0.96628,             0.62211,            0.043404,            0.031208,           0.0010086,            0.003532,            0.003532,            0.003532
                 100,            0.046696,            0.039271,           0.0014469,             0.94027,             0.92498,             0.96257,             0.62747,            0.042418,             0.03076,           0.0010667,            0.003466,            0.003466,            0.003466
                 101,            0.046807,            0.040426,           0.0013658,             0.93586,             0.94558,             0.96768,             0.63502,            0.042066,            0.030311,          0.00092053,              0.0034,              0.0034,              0.0034
                 102,            0.047001,            0.044028,           0.0012021,              0.9212,             0.94307,              0.9571,             0.62495,             0.04245,            0.030484,           0.0008809,            0.003334,            0.003334,            0.003334
                 103,            0.046839,            0.042075,           0.0013262,             0.91892,             0.93615,             0.95548,             0.62224,            0.042247,            0.030603,           0.0011864,            0.003268,            0.003268,            0.003268
                 104,            0.046098,            0.039085,            0.001356,             0.92266,             0.92131,             0.95598,             0.63453,            0.042392,            0.030635,            0.001031,            0.003202,            0.003202,            0.003202
                 105,            0.044083,            0.038897,            0.001416,               0.948,             0.92009,             0.96738,             0.63888,            0.042418,             0.03043,          0.00090402,            0.003136,            0.003136,            0.003136
                 106,            0.046212,            0.041214,           0.0013301,              0.9547,             0.92771,             0.96952,             0.63546,            0.042523,            0.030133,          0.00093919,             0.00307,             0.00307,             0.00307
                 107,             0.04694,            0.039244,           0.0038325,             0.95572,              0.9422,             0.97645,             0.64255,            0.042721,            0.029809,          0.00091839,            0.003004,            0.003004,            0.003004
                 108,            0.046548,            0.042415,           0.0014111,             0.94369,             0.93897,             0.97084,             0.64399,             0.04178,            0.029778,          0.00097221,            0.002938,            0.002938,            0.002938
                 109,            0.045122,            0.038081,           0.0013662,             0.96373,              0.9384,             0.97174,             0.64175,            0.041983,            0.029627,          0.00091994,            0.002872,            0.002872,            0.002872
                 110,            0.046245,            0.039353,            0.002929,             0.94069,             0.92648,             0.96423,             0.63908,            0.042144,            0.030544,          0.00091726,            0.002806,            0.002806,            0.002806
                 111,            0.047138,            0.038552,           0.0011204,             0.94525,              0.9361,             0.96866,               0.639,            0.041877,            0.030081,          0.00083899,             0.00274,             0.00274,             0.00274
                 112,            0.046915,            0.040814,           0.0014122,             0.94557,             0.93604,             0.96748,             0.63853,            0.041811,            0.030064,          0.00082445,            0.002674,            0.002674,            0.002674
                 113,            0.045556,            0.040324,           0.0012783,             0.95582,             0.92712,             0.96697,             0.64194,            0.041588,            0.030021,          0.00082213,            0.002608,            0.002608,            0.002608
                 114,            0.045164,            0.039164,           0.0011544,             0.95518,              0.9312,             0.96897,             0.65412,            0.041919,             0.02984,           0.0008437,            0.002542,            0.002542,            0.002542
                 115,            0.044838,            0.038353,           0.0012148,             0.95779,              0.9371,             0.96929,             0.65477,            0.041375,             0.02982,          0.00087211,            0.002476,            0.002476,            0.002476
                 116,            0.045182,            0.038547,           0.0015211,             0.93673,             0.92494,             0.96078,             0.64781,            0.041677,             0.02987,           0.0010034,             0.00241,             0.00241,             0.00241
                 117,             0.04624,            0.041676,           0.0011679,             0.93765,             0.93023,             0.96202,              0.6389,            0.041612,            0.029707,          0.00094864,            0.002344,            0.002344,            0.002344
                 118,            0.045479,            0.039454,           0.0011937,             0.94293,             0.93834,              0.9658,             0.64844,            0.041195,             0.02958,          0.00081599,            0.002278,            0.002278,            0.002278
                 119,            0.044709,            0.037341,           0.0014915,             0.94245,             0.94152,             0.96734,              0.6437,            0.041543,            0.029789,           0.0008992,            0.002212,            0.002212,            0.002212
                 120,            0.044215,            0.038011,           0.0011604,             0.93148,             0.91593,              0.9647,             0.64948,            0.041342,            0.029429,          0.00090051,            0.002146,            0.002146,            0.002146
                 121,            0.043826,             0.04145,            0.001202,             0.94579,             0.91957,             0.96729,             0.65077,            0.041313,              0.0292,           0.0008229,             0.00208,             0.00208,             0.00208
                 122,            0.044144,            0.037343,           0.0010217,             0.94245,             0.93321,             0.96549,             0.64886,            0.041099,            0.029597,          0.00079077,            0.002014,            0.002014,            0.002014
                 123,            0.044534,            0.037905,           0.0011653,             0.95341,              0.9267,             0.96446,             0.65259,             0.04113,             0.02934,          0.00079894,            0.001948,            0.001948,            0.001948
                 124,             0.04537,            0.037294,           0.0012717,             0.95681,             0.92072,             0.96933,             0.65122,            0.041088,            0.029232,          0.00079042,            0.001882,            0.001882,            0.001882
                 125,            0.044213,            0.038079,           0.0013984,             0.95637,             0.93041,             0.96967,             0.65918,            0.041084,             0.02924,          0.00075847,            0.001816,            0.001816,            0.001816
                 126,            0.044048,            0.038918,           0.0013697,             0.95061,             0.92707,             0.96684,             0.65613,            0.040998,            0.029215,          0.00075591,             0.00175,             0.00175,             0.00175
                 127,            0.044777,            0.038719,           0.0011984,             0.94548,             0.93175,             0.96989,             0.65516,            0.041203,             0.02923,          0.00078753,            0.001684,            0.001684,            0.001684
                 128,            0.043833,            0.044293,           0.0010725,             0.93417,             0.93205,             0.96369,              0.6546,            0.040867,            0.029163,           0.0008049,            0.001618,            0.001618,            0.001618
                 129,            0.043699,            0.037859,           0.0011747,             0.94192,             0.93855,             0.96852,             0.65819,            0.040834,            0.029116,          0.00076288,            0.001552,            0.001552,            0.001552
                 130,            0.043117,            0.037335,          0.00091024,             0.96066,             0.93566,              0.9728,             0.65648,            0.040894,            0.029005,          0.00073069,            0.001486,            0.001486,            0.001486
                 131,            0.045101,            0.039465,           0.0011126,             0.96173,             0.93737,             0.97513,             0.66001,            0.041127,            0.029038,          0.00071436,             0.00142,             0.00142,             0.00142
                 132,            0.044105,            0.039997,           0.0011938,             0.95377,             0.94073,             0.97446,             0.66116,            0.040882,            0.028707,          0.00072059,            0.001354,            0.001354,            0.001354
                 133,            0.044167,             0.03754,           0.0012346,             0.95492,             0.94579,             0.97545,             0.66296,            0.040589,            0.028694,           0.0007011,            0.001288,            0.001288,            0.001288
                 134,            0.042699,            0.041177,           0.0010118,             0.95525,             0.94227,             0.97389,             0.66203,            0.040802,            0.028727,          0.00069815,            0.001222,            0.001222,            0.001222
                 135,            0.044116,            0.038501,          0.00099685,             0.95719,             0.94077,             0.97457,             0.66244,             0.04042,            0.028771,          0.00065854,            0.001156,            0.001156,            0.001156
